contract_id,submission_id,vendor_id,contract_start_date,contract_end_date,contract_value,contract_status
C0001,S0001,V009,2026-07-15,2027-09-18,51704.24,Pending
C0002,S0002,V007,2026-03-18,2026-10-11,100720.82,Pending
C0003,S0003,V004,2026-08-21,2028-04-24,350078.97,Pending
C0004,S0004,V009,2026-03-19,2027-06-12,190651.04,Active
C0005,S0005,,2026-04-24,2027-05-05,403546.48,Active
C0006,S0006,V005,2026-04-20,2027-04-01,225155.21,Pending
C0007,S0007,V004,2026-04-05,2027-05-14,82807.74,Pending
C0008,S0008,V007,2026-03-09,2027-07-24,117995.73,Pending
C0009,S0009,V003,2026-04-05,2027-12-14,356660.33,Pending
C0010,S0010,V010,2026-09-03,2028-05-07,53193.95,Active
C0011,S0011,V007,2026-08-12,2027-11-08,302006.4,Pending
C0012,S0012,V009,2026-09-29,2027-09-26,315993.15,Active
C0013,S0013,V002,2026-09-01,2027-02-28,83793.03,Pending
C0014,S0014,V003,2026-03-23,2026-12-15,419457.86,Pending
C0015,S0015,V007,2026-04-20,2027-05-21,277511.14,Pending
C0016,S0016,V001,2026-03-08,2026-09-25,112842.64,Pending
C0017,S0017,V004,2026-09-08,2028-08-14,25540.17,Pending
C0018,S0018,V006,2026-06-12,2027-06-21,130001.68,Active
C0019,S0019,V002,2026-03-11,2026-03-11,331583.97,Active
C0020,S0020,V008,2026-05-27,2028-03-10,71427.5,Pending
C0021,S0021,V008,2026-06-08,2027-08-04,337893.31,Pending
C0022,S0022,V008,2026-05-09,2028-02-13,11089.12,Pending
C0023,S0023,V008,2026-02-02,2027-06-18,292935.03,Active
C0024,S0024,V010,2026-03-15,2026-11-19,363461.21,Pending
C0025,S0025,V004,2026-06-05,2027-10-21,317739.14,Pending
C0026,S0026,V002,2026-07-04,2027-01-09,162284,Pending
C0027,S0027,V008,2026-02-22,2027-04-28,418036.68,Pending
C0028,S0028,V002,2026-07-05,2027-11-03,12930.13,Active
C0029,S0029,V002,2026-07-02,2027-09-25,111928.01,Pending
C0030,S0030,V009,2026-04-27,2027-04-07,324265.25,Pending
C0031,S0031,V005,2026-09-27,2027-08-24,78133.29,Pending
C0032,S0032,V003,2026-07-31,2028-03-18,129098.97,Pending
C0033,S0033,V007,2026-08-18,2027-10-26,412105.54,Pending
C0034,S0034,V007,2026-09-01,2027-10-19,425213.31,Pending
C0035,S0035,V002,2026-05-28,2028-05-26,303845.22,Pending
C0036,S0036,V002,2026-02-16,2027-07-02,60093.31,Pending
C0037,S0037,V006,2026-08-19,2027-09-04,179065.14,Pending
C0038,S0038,V009,2026-10-15,2028-06-04,146821.3,Pending
C0039,S0039,V005,2026-09-24,2028-01-25,191938.53,Pending
C0040,S0040,V003,2026-07-18,2028-04-10,293399.46,Pending
C0041,S0041,V003,2026-07-12,2027-11-21,279047.7,Pending
C0042,S0042,V008,2026-07-20,2028-03-15,429143.32,Pending
C0043,S0043,V008,2026-07-17,2028-03-23,12560.64,Pending
C0044,S0044,V007,2026-03-24,2027-08-10,372598.99,Pending
C0045,S0045,V005,2026-09-08,2027-12-15,223276.44,Pending
C0046,S0046,V007,2026-04-29,2027-01-16,154432.89,Pending
C0047,S0047,V007,2026-05-26,2027-01-24,162496.92,Pending
C0048,S0048,V010,2026-06-06,2028-01-06,12903.61,Pending
C0049,S0049,V003,2026-05-28,2028-01-12,200382.11,Pending
C0050,S0050,V003,2026-07-20,2028-03-29,270624.44,Pending
C0051,S0051,V008,2026-04-04,2027-07-12,206591.3,Pending
C0052,S0052,V001,2026-08-11,2027-03-20,43460.55,Active
C0053,S0053,V003,2026-05-30,2028-03-16,281065.08,Pending
C0054,S0054,V010,2026-03-03,2027-09-18,237059.64,Pending
C0055,S0055,V006,2026-07-24,2027-03-03,337329.87,Pending
C0056,S0056,V009,2026-09-06,2028-06-17,207299.38,Pending
C0057,S0057,V004,2026-09-04,2027-11-09,353201.33,Active
C0058,S0058,V006,2026-06-22,2027-07-24,379171.32,Pending
C0059,S0059,V008,2026-06-23,2028-05-03,84983.95,Pending
C0060,S0060,V006,2026-04-01,2027-10-10,204914.49,Pending
